"Source:","/home/franklin/workspace/badge/badge-2023-tri-poloski/kicad/adidas.kicad_sch"
"Date:","Sat 15 Oct 2022 01:19:06 PM EDT"
"Tool:","Eeschema 6.0.8-f2edbf62ab~116~ubuntu22.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","A1_MIN","AVAILABILITY","A_MAX","A_MIN","A_NOM","B_MAX","B_MIN","B_NOM","D2_MAX","DESCRIPTION","D_MAX","D_MIN","D_NOM","E1_MAX","E1_MIN","E1_NOM","E2_MAX","ENOM","E_MAX","E_MIN","E_NOM","L_MAX","L_MIN","L_NOM","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PACKAGE","PARTREV","PIN_COUNT","PRICE","STANDARD"
"","","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_Keystone_3002_1x2032","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","D1","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D2","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D3","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D4","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D5","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D6","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D7","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D8","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D9","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D10","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D11","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","D12","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"","","J1","ISP Header","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J2","Conn_01x02_Female","Connector:Conn_01x02_Female","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","J3","SAO Header","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R1","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R2","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","R3","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","U1","MPU-6050","MPU-6050:MPU-6050","DEAD10C5:QFN50P400X400X95-24N","","","Good","","","","","","","","IMU ACCEL/GYRO 3-AXIS I2C 24QFN","","","","","","","","","","","","","","","","","TDK","MPU-6050","QFN-24 InvenSense","3.4","","5.45 USD","IPC-7351B"
"","","U2","ATTINY841-SSU","ATTINY841-SSU:ATTINY841-SSU","DEAD10C5:SOIC127P599X175-14N","","0.1","","1.75","1.75","1.75","0.5","0.33","0.415","0.0","","8.74","8.55","8.645","3.99","3.8","3.895","0.0","1.27","6.19","5.8","5.995","1.27","0.41","0.84","Microchip","1.75mm","","","","A","14.0","","IPC 7351B"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","A1_MIN","AVAILABILITY","A_MAX","A_MIN","A_NOM","B_MAX","B_MIN","B_NOM","D2_MAX","DESCRIPTION","D_MAX","D_MIN","D_NOM","E1_MAX","E1_MIN","E1_NOM","E2_MAX","ENOM","E_MAX","E_MIN","E_NOM","L_MAX","L_MIN","L_NOM","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","PACKAGE","PARTREV","PIN_COUNT","PRICE","STANDARD"
"1","1","BT1","Battery_Cell","Device:Battery_Cell","Battery:BatteryHolder_Keystone_3002_1x2032","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","12","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12","LHN974","LHN974:LHN974","1206_smt:LEDC3216X120N","","","","","","","","","","","","","","","","","","","","","","","","","","Osram","1.20mm","","","","2002-04-11","","","IPC7-351B"
"3","1","J1","ISP Header","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4","1","J2","Conn_01x02_Female","Connector:Conn_01x02_Female","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","1","J3","SAO Header","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","3","R1, R2, R3","R","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","1","U1","MPU-6050","MPU-6050:MPU-6050","DEAD10C5:QFN50P400X400X95-24N","","","Good","","","","","","","","IMU ACCEL/GYRO 3-AXIS I2C 24QFN","","","","","","","","","","","","","","","","","TDK","MPU-6050","QFN-24 InvenSense","3.4","","5.45 USD","IPC-7351B"
"8","1","U2","ATTINY841-SSU","ATTINY841-SSU:ATTINY841-SSU","DEAD10C5:SOIC127P599X175-14N","","0.1","","1.75","1.75","1.75","0.5","0.33","0.415","0.0","","8.74","8.55","8.645","3.99","3.8","3.895","0.0","1.27","6.19","5.8","5.995","1.27","0.41","0.84","Microchip","1.75mm","","","","A","14.0","","IPC 7351B"
